Trace,Exp,Core_0_IPC,Filter
429.mcf-192B,mlop_MTPS600,0.09436,1
429.mcf-192B,pythia_MTPS600,0.10235,1
429.mcf-192B,nopref_MTPS1200,0.06807,1
429.mcf-192B,spp_MTPS1200,0.06806,1
429.mcf-192B,bingo_MTPS1200,0.03848,1
429.mcf-192B,mlop_MTPS1200,0.09909,1
429.mcf-192B,pythia_MTPS1200,0.10559,1
429.mcf-192B,nopref_MTPS4800,0.06807,1
429.mcf-192B,spp_MTPS4800,0.06807,1
429.mcf-192B,bingo_MTPS4800,0.04925,1
429.mcf-192B,mlop_MTPS4800,0.1002,1
429.mcf-192B,pythia_MTPS4800,0.1064,1
429.mcf-192B,nopref_MTPS9600,0.06807,1
429.mcf-192B,spp_MTPS9600,0.06807,1
429.mcf-192B,bingo_MTPS9600,0.04942,1
429.mcf-192B,mlop_MTPS9600,0.10023,1
429.mcf-192B,pythia_MTPS9600,0.10631,1
429.mcf-51B,nopref,0.10178,1
429.mcf-51B,spp,0.09962,1
429.mcf-51B,bingo,0.08748,1
429.mcf-51B,mlop,0.10661,1
429.mcf-51B,pythia,0.11337,1
429.mcf-51B,nopref_MTPS150,0.06816,1
429.mcf-51B,spp_MTPS150,0.06225,1
429.mcf-51B,bingo_MTPS150,0.01257,1
429.mcf-51B,mlop_MTPS150,0.03789,1
429.mcf-51B,pythia_MTPS150,0.05384,1
429.mcf-51B,nopref_MTPS300,0.0934,1
429.mcf-51B,spp_MTPS300,0.08882,1
429.mcf-51B,bingo_MTPS300,0.02445,1
429.mcf-51B,mlop_MTPS300,0.06708,1
429.mcf-51B,pythia_MTPS300,0.09081,1
429.mcf-51B,nopref_MTPS600,0.10035,1
429.mcf-51B,spp_MTPS600,0.0976,1
429.mcf-51B,bingo_MTPS600,0.04439,1
429.mcf-51B,mlop_MTPS600,0.09343,1
429.mcf-51B,pythia_MTPS600,0.1076,1
429.mcf-51B,nopref_MTPS1200,0.10186,1
429.mcf-51B,spp_MTPS1200,0.0996,1
429.mcf-51B,bingo_MTPS1200,0.07086,1
429.mcf-51B,mlop_MTPS1200,0.10436,1
429.mcf-51B,pythia_MTPS1200,0.11249,1
429.mcf-51B,nopref_MTPS4800,0.10186,1
429.mcf-51B,spp_MTPS4800,0.09972,1
429.mcf-51B,bingo_MTPS4800,0.0918,1
429.mcf-51B,mlop_MTPS4800,0.10726,1
429.mcf-51B,pythia_MTPS4800,0.11296,1
429.mcf-51B,nopref_MTPS9600,0.1018,1
429.mcf-51B,spp_MTPS9600,0.09962,1
429.mcf-51B,bingo_MTPS9600,0.09248,1
429.mcf-51B,mlop_MTPS9600,0.10735,1
429.mcf-51B,pythia_MTPS9600,0.1126,1
433.milc-127B,nopref,0.42793,1
433.milc-127B,spp,0.61024,1
433.milc-127B,bingo,0.59618,1
433.milc-127B,mlop,0.58575,1
433.milc-127B,pythia,0.63598,1
433.milc-127B,nopref_MTPS150,0.17305,1
433.milc-127B,spp_MTPS150,0.16335,1
433.milc-127B,bingo_MTPS150,0.17695,1
433.milc-127B,mlop_MTPS150,0.08478,1
433.milc-127B,pythia_MTPS150,0.17572,1
433.milc-127B,nopref_MTPS300,0.29673,1
433.milc-127B,spp_MTPS300,0.31082,1
433.milc-127B,bingo_MTPS300,0.32565,1
433.milc-127B,mlop_MTPS300,0.16729,1
433.milc-127B,pythia_MTPS300,0.3306,1
433.milc-127B,nopref_MTPS600,0.37624,1
433.milc-127B,spp_MTPS600,0.48343,1
433.milc-127B,bingo_MTPS600,0.45422,1
433.milc-127B,mlop_MTPS600,0.30713,1
433.milc-127B,pythia_MTPS600,0.51141,1
433.milc-127B,nopref_MTPS1200,0.41029,1
433.milc-127B,spp_MTPS1200,0.58385,1
433.milc-127B,bingo_MTPS1200,0.5321,1
433.milc-127B,mlop_MTPS1200,0.48015,1
433.milc-127B,pythia_MTPS1200,0.59207,1
433.milc-127B,nopref_MTPS4800,0.43539,1
433.milc-127B,spp_MTPS4800,0.61274,1
433.milc-127B,bingo_MTPS4800,0.62741,1
433.milc-127B,mlop_MTPS4800,0.61414,1
433.milc-127B,pythia_MTPS4800,0.64713,1
433.milc-127B,nopref_MTPS9600,0.43755,1
433.milc-127B,spp_MTPS9600,0.61989,1
433.milc-127B,bingo_MTPS9600,0.6352,1
433.milc-127B,mlop_MTPS9600,0.61821,1
433.milc-127B,pythia_MTPS9600,0.65121,1
436.cactusADM-1804B,nopref,0.3697,0
436.cactusADM-1804B,spp,0.3972,0
436.cactusADM-1804B,bingo,0.40128,0
436.cactusADM-1804B,mlop,0.38611,0
436.cactusADM-1804B,pythia,0.40097,0
436.cactusADM-1804B,nopref_MTPS150,0.32877,0
436.cactusADM-1804B,spp_MTPS150,0.36556,0
436.cactusADM-1804B,bingo_MTPS150,0.37501,0
436.cactusADM-1804B,mlop_MTPS150,0.34644,0
436.cactusADM-1804B,pythia_MTPS150,0.37388,0
436.cactusADM-1804B,nopref_MTPS300,0.35648,0
436.cactusADM-1804B,spp_MTPS300,0.38499,0
436.cactusADM-1804B,bingo_MTPS300,0.39057,0
436.cactusADM-1804B,mlop_MTPS300,0.37093,0
436.cactusADM-1804B,pythia_MTPS300,0.38962,0
436.cactusADM-1804B,nopref_MTPS600,0.36704,0
436.cactusADM-1804B,spp_MTPS600,0.39319,0
436.cactusADM-1804B,bingo_MTPS600,0.3977,0
436.cactusADM-1804B,mlop_MTPS600,0.38156,0
436.cactusADM-1804B,pythia_MTPS600,0.39722,0
436.cactusADM-1804B,nopref_MTPS1200,0.36919,0
436.cactusADM-1804B,spp_MTPS1200,0.3965,0
436.cactusADM-1804B,bingo_MTPS1200,0.40055,0
436.cactusADM-1804B,mlop_MTPS1200,0.38531,0
436.cactusADM-1804B,pythia_MTPS1200,0.40031,0
436.cactusADM-1804B,nopref_MTPS4800,0.36975,0
436.cactusADM-1804B,spp_MTPS4800,0.39735,0
436.cactusADM-1804B,bingo_MTPS4800,0.40147,0
436.cactusADM-1804B,mlop_MTPS4800,0.38636,0
436.cactusADM-1804B,pythia_MTPS4800,0,0
436.cactusADM-1804B,nopref_MTPS9600,0.36974,0
436.cactusADM-1804B,spp_MTPS9600,0.39738,0
436.cactusADM-1804B,bingo_MTPS9600,0.40149,0
436.cactusADM-1804B,mlop_MTPS9600,0.38642,0
436.cactusADM-1804B,pythia_MTPS9600,0.40111,0
437.leslie3d-149B,nopref,0.60311,1
437.leslie3d-149B,spp,1.08768,1
437.leslie3d-149B,bingo,1.05946,1
437.leslie3d-149B,mlop,0.99363,1
437.leslie3d-149B,pythia,1.12939,1
437.leslie3d-149B,nopref_MTPS150,0.43163,1
437.leslie3d-149B,spp_MTPS150,0.4906,1
437.leslie3d-149B,bingo_MTPS150,0.47226,1
437.leslie3d-149B,mlop_MTPS150,0.49516,1
437.leslie3d-149B,pythia_MTPS150,0.50534,1
437.leslie3d-149B,nopref_MTPS300,0.56113,1
437.leslie3d-149B,spp_MTPS300,0.83046,1
437.leslie3d-149B,bingo_MTPS300,0.74911,1
437.leslie3d-149B,mlop_MTPS300,0.78289,1
437.leslie3d-149B,pythia_MTPS300,0.85956,1
437.leslie3d-149B,nopref_MTPS600,0.59494,1
437.leslie3d-149B,spp_MTPS600,1.02772,1
437.leslie3d-149B,bingo_MTPS600,0.93416,1
437.leslie3d-149B,mlop_MTPS600,0.93453,1
437.leslie3d-149B,pythia_MTPS600,1.06092,1
437.leslie3d-149B,nopref_MTPS1200,0.60128,1
437.leslie3d-149B,spp_MTPS1200,1.08006,1
437.leslie3d-149B,bingo_MTPS1200,1.0221,1
437.leslie3d-149B,mlop_MTPS1200,0.98245,1
437.leslie3d-149B,pythia_MTPS1200,1.11646,1
437.leslie3d-149B,nopref_MTPS4800,0.60391,1
437.leslie3d-149B,spp_MTPS4800,1.08989,1
437.leslie3d-149B,bingo_MTPS4800,1.07296,1
437.leslie3d-149B,mlop_MTPS4800,0.99598,1
437.leslie3d-149B,pythia_MTPS4800,1.13207,1
437.leslie3d-149B,nopref_MTPS9600,0.60416,1
437.leslie3d-149B,spp_MTPS9600,1.08948,1
437.leslie3d-149B,bingo_MTPS9600,1.07369,1
437.leslie3d-149B,mlop_MTPS9600,0.99623,1
437.leslie3d-149B,pythia_MTPS9600,1.1329,1
437.leslie3d-232B,nopref,0.5913,1
437.leslie3d-232B,spp,1.05265,1
437.leslie3d-232B,bingo,1.03157,1
437.leslie3d-232B,mlop,1.00397,1
437.leslie3d-232B,pythia,1.09645,1
437.leslie3d-232B,nopref_MTPS150,0.41245,1
437.leslie3d-232B,spp_MTPS150,0.47603,1
437.leslie3d-232B,bingo_MTPS150,0.45448,1
437.leslie3d-232B,mlop_MTPS150,0.46421,1
437.leslie3d-232B,pythia_MTPS150,0.48019,1
437.leslie3d-232B,nopref_MTPS300,0.54419,1
437.leslie3d-232B,spp_MTPS300,0.78276,1
437.leslie3d-232B,bingo_MTPS300,0.72756,1
437.leslie3d-232B,mlop_MTPS300,0.74655,1
437.leslie3d-232B,pythia_MTPS300,0.80957,1
437.leslie3d-232B,nopref_MTPS600,0.58196,1
437.leslie3d-232B,spp_MTPS600,0.98037,1
437.leslie3d-232B,bingo_MTPS600,0.91482,1
437.leslie3d-232B,mlop_MTPS600,0.92503,1
437.leslie3d-232B,pythia_MTPS600,1.01587,1
437.leslie3d-232B,nopref_MTPS1200,0.58947,1
437.leslie3d-232B,spp_MTPS1200,1.04396,1
437.leslie3d-232B,bingo_MTPS1200,1.00045,1
437.leslie3d-232B,mlop_MTPS1200,0.99076,1
437.leslie3d-232B,pythia_MTPS1200,1.08373,1
437.leslie3d-232B,nopref_MTPS4800,0.5921,1
437.leslie3d-232B,spp_MTPS4800,1.05426,1
437.leslie3d-232B,bingo_MTPS4800,1.04223,1
