Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Filter
481.wrf-196B_4T,nopref,0,0,0,0,0
481.wrf-196B_4T,spp,0,0,0,0,0
481.wrf-196B_4T,bingo,0,0,0,0,0
481.wrf-196B_4T,mlop,0,0,0,0,0
481.wrf-196B_4T,pythia,0,0,0,0,0
481.wrf-816B_4T,nopref,0,0,0,0,0
481.wrf-816B_4T,spp,0,0,0,0,0
481.wrf-816B_4T,bingo,0,0,0,0,0
481.wrf-816B_4T,mlop,0,0,0,0,0
481.wrf-816B_4T,pythia,0,0,0,0,0
482.sphinx3-1297B_4T,nopref,0,0,0,0,0
482.sphinx3-1297B_4T,spp,0,0,0,0,0
482.sphinx3-1297B_4T,bingo,0,0,0,0,0
482.sphinx3-1297B_4T,mlop,0,0,0,0,0
482.sphinx3-1297B_4T,pythia,0,0,0,0,0
482.sphinx3-1395B_4T,nopref,0,0,0,0,0
482.sphinx3-1395B_4T,spp,0,0,0,0,0
482.sphinx3-1395B_4T,bingo,0,0,0,0,0
482.sphinx3-1395B_4T,mlop,0,0,0,0,0
482.sphinx3-1395B_4T,pythia,0,0,0,0,0
483.xalancbmk-127B_4T,nopref,0,0,0,0,0
483.xalancbmk-127B_4T,spp,0,0,0,0,0
483.xalancbmk-127B_4T,bingo,0,0,0,0,0
483.xalancbmk-127B_4T,mlop,0,0,0,0,0
483.xalancbmk-127B_4T,pythia,0,0,0,0,0
602.gcc_s-1850B_4T,nopref,0,0,0,0,0
602.gcc_s-1850B_4T,spp,0,0,0,0,0
602.gcc_s-1850B_4T,bingo,0,0,0,0,0
602.gcc_s-1850B_4T,mlop,0,0,0,0,0
602.gcc_s-1850B_4T,pythia,0,0,0,0,0
602.gcc_s-734B_4T,nopref,0,0,0,0,0
602.gcc_s-734B_4T,spp,0,0,0,0,0
602.gcc_s-734B_4T,bingo,0,0,0,0,0
602.gcc_s-734B_4T,mlop,0,0,0,0,0
602.gcc_s-734B_4T,pythia,0,0,0,0,0
603.bwaves_s-2931B_4T,nopref,0,0,0,0,0
603.bwaves_s-2931B_4T,spp,0,0,0,0,0
603.bwaves_s-2931B_4T,bingo,0,0,0,0,0
603.bwaves_s-2931B_4T,mlop,0,0,0,0,0
603.bwaves_s-2931B_4T,pythia,0,0,0,0,0
605.mcf_s-994B_4T,nopref,0,0,0,0,0
605.mcf_s-994B_4T,spp,0,0,0,0,0
605.mcf_s-994B_4T,bingo,0,0,0,0,0
605.mcf_s-994B_4T,mlop,0,0,0,0,0
605.mcf_s-994B_4T,pythia,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,nopref,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,spp,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,bingo,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,mlop,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,pythia,0,0,0,0,0
619.lbm_s-2677B_4T,nopref,0,0,0,0,0
619.lbm_s-2677B_4T,spp,0,0,0,0,0
619.lbm_s-2677B_4T,bingo,0,0,0,0,0
619.lbm_s-2677B_4T,mlop,0,0,0,0,0
619.lbm_s-2677B_4T,pythia,0,0,0,0,0
619.lbm_s-3766B_4T,nopref,0,0,0,0,0
619.lbm_s-3766B_4T,spp,0,0,0,0,0
619.lbm_s-3766B_4T,bingo,0,0,0,0,0
619.lbm_s-3766B_4T,mlop,0,0,0,0,0
619.lbm_s-3766B_4T,pythia,0,0,0,0,0
619.lbm_s-4268B_4T,nopref,0,0,0,0,0
619.lbm_s-4268B_4T,spp,0,0,0,0,0
619.lbm_s-4268B_4T,bingo,0,0,0,0,0
619.lbm_s-4268B_4T,mlop,0,0,0,0,0
619.lbm_s-4268B_4T,pythia,0,0,0,0,0
620.omnetpp_s-141B_4T,nopref,0,0,0,0,0
620.omnetpp_s-141B_4T,spp,0,0,0,0,0
620.omnetpp_s-141B_4T,bingo,0,0,0,0,0
620.omnetpp_s-141B_4T,mlop,0,0,0,0,0
620.omnetpp_s-141B_4T,pythia,0,0,0,0,0
620.omnetpp_s-874B_4T,nopref,0,0,0,0,0
620.omnetpp_s-874B_4T,spp,0,0,0,0,0
620.omnetpp_s-874B_4T,bingo,0,0,0,0,0
620.omnetpp_s-874B_4T,mlop,0,0,0,0,0
620.omnetpp_s-874B_4T,pythia,0,0,0,0,0
621.wrf_s-6673B_4T,nopref,0,0,0,0,0
621.wrf_s-6673B_4T,spp,0,0,0,0,0
621.wrf_s-6673B_4T,bingo,0,0,0,0,0
621.wrf_s-6673B_4T,mlop,0,0,0,0,0
621.wrf_s-6673B_4T,pythia,0,0,0,0,0
621.wrf_s-8065B_4T,nopref,0,0,0,0,0
621.wrf_s-8065B_4T,spp,0,0,0,0,0
621.wrf_s-8065B_4T,bingo,0,0,0,0,0
621.wrf_s-8065B_4T,mlop,0,0,0,0,0
621.wrf_s-8065B_4T,pythia,0,0,0,0,0
623.xalancbmk_s-10B_4T,nopref,0,0,0,0,0
623.xalancbmk_s-10B_4T,spp,0,0,0,0,0
623.xalancbmk_s-10B_4T,bingo,0,0,0,0,0
623.xalancbmk_s-10B_4T,mlop,0,0,0,0,0
623.xalancbmk_s-10B_4T,pythia,0,0,0,0,0
623.xalancbmk_s-592B_4T,nopref,0,0,0,0,0
623.xalancbmk_s-592B_4T,spp,0,0,0,0,0
623.xalancbmk_s-592B_4T,bingo,0,0,0,0,0
623.xalancbmk_s-592B_4T,mlop,0,0,0,0,0
623.xalancbmk_s-592B_4T,pythia,0,0,0,0,0
627.cam4_s-573B_4T,nopref,0,0,0,0,0
627.cam4_s-573B_4T,spp,0,0,0,0,0
627.cam4_s-573B_4T,bingo,0,0,0,0,0
627.cam4_s-573B_4T,mlop,0,0,0,0,0
